Number of tweets, features: (6921, 9)
Column: ekphrasis

bert	0.8057599290406922	0.01802159475195352	0.8192211218646122	0.7713700538955084	0.019486762916599183	0.7796986140941224	0.6852957545400389	0.016734382641870806	0.7064182080645695	0.7573672872742307	0.013125048821982331	0.7703822003740213	0.7864502684460967	0.016958312095837542	0.797877474580149	
doc2vec	0.7566231499001392	0.02105397582856198	0.7486055631934515	0.734346455384786	0.01814013756927985	0.7165390576150727	0.6303860808024261	0.0175138542486657	0.6159070515346903	0.6785343690865068	0.020160693010110885	0.6799989977721309	0.7643372526812916	0.016001725371437403	0.7524944517048823	
tfidf	0.7857072578060348	0.020602703350310655	0.79414201154798	0.7624994826486555	0.018384371502441182	0.7574079805164388	0.6804917950491025	0.021197574616118077	0.680274780183983	0.7220145707283547	0.019585953349303548	0.7587464597206378	0.43631596760510905	0.027037945150950746	0.4403513511301031	
tfidf, features=5000	0.7880603985794068	0.01436475720972831	0.8010900834648551	0.7458154143151152	0.01857383788762922	0.743233919840418	0.6735836373649484	0.025127365368070045	0.6668786571792097	0.7301160632355871	0.014241298717905776	0.7316904205223759	0.4361200037172367	0.013124315653614934	0.4403513511301031	
tfidf, ngrams=(1,2), features=5000	0.7827910119068862	0.012773993493095836	0.7936155889637613	0.7296771349650186	0.018781917926080475	0.7425182685955787	0.6735829531531626	0.0231555282421112	0.6949082810065671	0.7299229479301008	0.020167729666544208	0.7820586324947207	0.4363086702358836	0.02623750708751815	0.4403513511301031	
tfidf, ngrams=(2,2), features=5000	0.7110908308581265	0.01971611520574847	0.7108146492082807	0.5887117224741816	0.01940696280671767	0.6089307464385167	0.6664402020958546	0.016005360561748082	0.651160882606605	0.6902074518946739	0.01925133085363123	0.6782557502069307	0.43628014677738863	0.024719765428540628	0.4403513511301031	
tfidf, min_df=0.05	0.653514157295415	0.019385566319393026	0.6528112680946587	0.6195117913409846	0.0233425499060497	0.6398037559045084	0.608645137304209	0.012806071038933033	0.6277875096706563	0.6228023775892065	0.011571627908074505	0.6354939410200514	0.6423946844973024	0.02067447687447037	0.6590084953376064	
bow	0.7803277832779967	0.01384354097139666	0.7925525498138083	0.6262363102601837	0.027244716934254495	0.6248902516491488	0.7001485189173714	0.01746917777525798	0.7222294699518208	0.729563094663386	0.023334948232712475	0.7554245942693596	0.4362387942856292	0.02263150511505054	0.4403513511301031	
bow, features=5000	0.7865523181480898	0.016020507872270464	0.7884813935986758	0.6093050957883499	0.018993124198867003	0.618471621256562	0.696243577149972	0.01897365525863465	0.7069455968273496	0.7383694328581093	0.023074995282369535	0.7626893096525059	0.4362230731199187	0.022021522896799744	0.4403513511301031	
bow, ngrams=(1,2), features=5000	0.7795323931200298	0.013631800519750971	0.7916867608567952	0.5821189108639523	0.03278672823487395	0.580274071142795	0.6894196719056306	0.015126236153646899	0.7109879486854509	0.7338132409586564	0.012986895904916234	0.7536489024011725	0.4362414451899771	0.022928998049772345	0.4403513511301031	
bow, ngrams=(2,2), features=5000	0.7225582970708454	0.018466514178444013	0.7000866353999597	0.5926818311931856	0.024781352263256083	0.6018506949357747	0.6679156556235876	0.023389642954817845	0.6492308523852135	0.6922164950705891	0.018786708332331925	0.6718550797853091	0.43631352676661994	0.026930851248137887	0.4403513511301031	
bow, min_df=0.05	0.6393578392617951	0.024321179541886163	0.6376738406276102	0.6305634032145269	0.012179919477188009	0.6252242844810949	0.6145186962781402	0.017807522512940384	0.6218653974443534	0.6257131968595868	0.016647133997682653	0.6345323552462714	0.6456695922731945	0.02825680565831248	0.6449320116183472	
Column: ekphrasis_rm

bert	0.8050234860217713	0.010113048328703194	0.8166178580905833	0.7742858031209003	0.015425270126227741	0.7856354157604185	0.6986041971789754	0.02437723925307741	0.6790007702663324	0.7580342747967821	0.015504898446533093	0.7668744212608865	0.7830545971639349	0.01895317607231271	0.80110917028758	
doc2vec	0.7517360467677803	0.020929677413661515	0.7486520624852773	0.7383243544307397	0.01498226955430425	0.7389157252506091	0.6272805992319567	0.020276319556773368	0.6178711635822736	0.6889482772072558	0.025903045493725293	0.6723364267851665	0.757943540375857	0.013115255136123776	0.7395273483864406	
tfidf	0.7911074705382282	0.014431306530899222	0.7935070323193603	0.7617011809652185	0.023226487582575426	0.7639489808103911	0.698503265510068	0.011988146431888289	0.6892139799105089	0.7294573700243706	0.01700732955933017	0.7701925269996696	0.4362570063516573	0.023959225684599843	0.4403513511301031	
tfidf, features=5000	0.7955901472546001	0.008030758196523931	0.7944063507974317	0.5566960340812365	0.0496718750328874	0.5495040870987382	0.6968442000110153	0.02313843029897606	0.6875043617183739	0.7410304136348778	0.018791713502018453	0.7563123173457109	0.43625045193040235	0.023217362756458308	0.4403513511301031	
tfidf, ngrams=(1,2), features=5000	0.7868713335936219	0.010583331452812964	0.7944063507974317	0.5594105448903347	0.04853430988973832	0.5634666861151737	0.6829117743561296	0.020181677571568853	0.7025913993840374	0.7314829894557722	0.027042836219504447	0.764388673298744	0.43632874235515307	0.02761505670673342	0.4403513511301031	
tfidf, ngrams=(2,2), features=5000	0.7126070116137588	0.028566176296128933	0.7044385488174123	0.6030961419853604	0.023710834240236282	0.6252463788205315	0.6789549195345695	0.021082505447623537	0.6659028330171938	0.6994398345409292	0.0164930971389206	0.6959950564282694	0.43634187826358567	0.027947271161092774	0.4403513511301031	
